name,capacity_mw,primary_fuel,commissioning_year,State,Plant Name,Generation (kWh),Fuel Consumption for Electric Generation (MMBtu),Metric Tonnes of CO2 Emissions,emissions_per_KWh
1515 s caron road,4.2,Gas,2000,IL,1515 S Caron Road,24000,394,20.90976969,0.00087124
191 peachtree tower,2.4,Oil,1991,GA,191 Peachtree Tower,0,28,2.048498584,inf
491 e 48th street,161.7,Gas,1996.131107,MI,491 E 48th Street,21103000,262600,13936.30843,0.000660395
500mw cc,528,Gas,2006,NY,500MW CC,2446465000,18679059,997255.0758,0.000407631
59th street,17.1,Gas,1969,NY,59th Street,119000,1829,97.06591057,0.00081568
74th street,37,Oil,1968,NY,74th Street,316000,4820,348.4891614,0.001102814
a b brown,706.8,Coal,1985.994058,IN,A B Brown,2469960000,27491118,2543326.425,0.001029703
a l pierce,84,Gas,2007,CT,A L Pierce,1958000,27458,1561.497416,0.000797496
aes corp,454.3,Coal,,,,,,,
abc coke,3.8,Gas,1997,AL,ABC Coke,373892,1934,9360.306165,0.025034786
ac landfill energy llc,5.4,Waste,2005,,,,,,
ads renewable energywolf creek llc,2.8,Waste,2011,,,,,,
aes alamitos llc,1922,Gas,1962.652445,CA,AES Alamitos LLC,581118000,8072068,428388.535,0.00073718
aes hawaii,203,Coal,1992,HI,AES Hawaii,1317325000,14346812,1392267.97,0.00105689
aes huntington beach llc,436,Gas,1958.5,CA,AES Huntington Beach LLC,221671000,2822710,149802.5787,0.000675788
aes petersburg,2154.8,Coal,1976.75775,IN,AES Petersburg,8755391000,93392370,8708619.573,0.000994658
aes redondo beach llc,1316.4,Gas,1964.148587,CA,AES Redondo Beach LLC,195943000,3102129,164631.4795,0.000840201
aes shady point llc,350,Coal,1990,,,,,,
aes warrior run cogeneration facility,229,Coal,1999,MD,AES Warrior Run Cogeneration Facility,1103810000,9847324,1181674.718,0.001070542
al sandersville llc,692,Gas,2002,GA,AL Sandersville LLC,93046000,835739,44353.07109,0.000476679
amea peaking,98.6,Gas,2004,AL,AMEA Peaking,53719000,539076,28609.02286,0.000532568
anp bellingham energy project,578,Gas,2002.5,MA,ANP Bellingham Energy Project,1799773000,14165392,751764.1733,0.000417699
anp blackstone energy project,578,Gas,2001,MA,ANP Blackstone Energy Project,1672360000,12935883,686513.5388,0.000410506
apg combined heat and power plant,7.9,Gas,2017,MD,APG Combined Heat and Power Plant,55309000,661816,45419.52651,0.000821196
att anaheim,1.3,Gas,2016,CA,AT&T Anaheim,9424000,77612,4118.906206,0.000437066
att holger,1.3,Gas,2016,CA,AT&T Holger,9878000,81431,4321.582375,0.000437496
aberdeen ct,111,Gas,2003.918919,SD,Aberdeen CT,43908000,465184,24739.09025,0.00056343
acadia energy center,1389.2,Gas,2002,LA,Acadia Energy Center,5191750374,38847219,2061640.615,0.000397099
ada cogeneration lp,33.1,Gas,1990,MI,Ada Cogeneration LP,137129000,1094538,81325.04656,0.000593055
adkins energy llc,5,Gas,2002,IL,Adkins Energy LLC,36014000,155541,39618.22888,0.001100079
adobe san jose,1.2,Gas,2010,CA,Adobe San Jose,8338000,74638,3961.074594,0.000475063
adrian,2,Oil,2005,MN,Adrian,91000,836,61.16231486,0.000672113
adrian energy associates llc,2.4,Waste,1995,,,,,,
aera san ardo cogen facility,6.2,Gas,1989,CA,Aera San Ardo Cogen Facility,47904000,244987,36738.19999,0.000766913
afton generating station,287,Gas,2003.916376,NM,Afton Generating Station,878017000,6752799,358374.2941,0.000408163
agnews power plant,32,Gas,1990,CA,Agnews Power Plant,6467000,57505,3051.818036,0.000471906
agrilectric power partners ltd,12.1,Waste,1984,LA,Agrilectric Power Partners Ltd,595411,10057,533.7298319,0.000896406
agrium kenai nitrogen operations,12.5,Gas,1977,,,,,,
agua fria,613.5,Gas,1964.571312,AZ,Agua Fria,227886000,2844432,150977.0128,0.000662511
agua mansa power plant,60.5,Gas,2003,CA,Agua Mansa Power Plant,4041000,4497,238.6579551,5.91E-05
aguirre,42,Gas,,,,,,,
aguirre,1492,Oil,1975,,,,,,
air products port arthur,169.1,Gas,2006.023655,TX,Air Products Port Arthur,990605264,6627344,506195.3802,0.000510996
airport industrial,10,Oil,2002,CO,Airport Industrial,-249000,1040,76.08709025,-0.000305571
akron recycle energy plant,4,Gas,1979,,,,,,
al turi,2.4,Waste,2006.666667,,,,,,
alameda,54.8,Gas,1986,CA,Alameda,7208000,121633,6455.12187,0.00089555
alamosa,53.2,Gas,1975,CO,Alamosa,6817000,100774,5398.892588,0.000791975
albany,6.2,Oil,1974.177419,,,,,,
albany green energy,54.5,Waste,2017,GA,Albany Green Energy,9116907,44693,2425.798637,0.000266077
albany medical ctr cogen plant,4.6,Gas,2013,NY,Albany Medical Ctr Cogen Plant,27594000,164153,25122.29223,0.000910426
albemarle hospital unit,1.8,Oil,2006,NC,Albemarle Hospital Unit,132000,1519,111.1310482,0.000841902
