"country","name","capacity_mw","primary_fuel","commissioningYear","age","generation_kwh","emissions_co2_tonne","heat_rate_btu_per_kwh","co2_lb_per_mmbtu","fuel_consumption_btu"
"USA","Barry",2839,"Coal",1954,67,12296272000,7341728.3,7881.67142854355,166.659165020737,96915175700000
"USA","Gadsden",138,"Gas",1949,72,0,193727.525,Inf,130.473100064296,3266577975000
"USA","Gorgas",1415,"Coal",1951,70,4868338000,5080765.437,10171.8799105567,225.719915514391,49520149500000
"USA","Copper",80,"Gas",1980,41,19465000,0,17222.0222450552,0,335226663000
"USA","Greene County",1288,"Gas",1965,56,965655000,594431.158,10232.7573512279,132.345621264736,9881313300000
"USA","E C Gaston",2033,"Gas",1960,61,5349340000,5322164.876,10937.3237212441,200.124258885842,58507463275000
"USA","Colbert",1822,"Coal",1955,66,16387000,14591,14310.014035516,136.888897228209,234498200000
"USA","Dolet Hills",720,"Coal",1986,35,2168905000,2218354.205,9393.82687854009,239.5358328264,20374318086000
"USA","J K Smith",1663,"Gas",1999,22,176105000,123330.289,11767.9876380568,130.923781248074,2072401463000
"USA","Charles R Lowman",538,"Coal",1969,52,1513992000,1731947.299,11149.7625145972,225.719020054142,16880651249000
"USA","Platte",109,"Coal",1982,39,363983000,427906.548,11209.122689796,230.737875797688,4079930104000
"USA","Whelan Energy Center",324,"Coal",1981,40,1295300000,1419731.787,10450.6512746082,230.735949919462,13536728596000
"USA","Escalante",257,"Coal",1984,37,1187080000,1241435.953,9971.27700997405,230.736462529489,11836703513000
"USA","Holcomb",348,"Coal",1983,38,1120854000,1190563.088,10127.705073096,230.735810370417,11351678742000
"USA","Cholla",1127,"Coal",1962,59,4022229000,4713155.073,11420.8265847121,225.720019921816,45937179893000
"USA","Ocotillo",332,"Gas",1960,61,213682000,149023.951,11735.1981495868,130.743584429602,2507600611000
"USA","West Phoenix",1324,"Gas",1948,73,2314082000,1083332.98,7877.48170289558,130.743015699579,18229138614000
"USA","Saguaro",435,"Gas",1954,67,35504000,23300.774,11043.1378717891,130.744446006247,392075567000
"USA","Yucca",421,"Gas",1959,62,324944000,208853.308,10815.4741740115,130.740443046897,3514423440000
"USA","Demoss Petrie",85,"Gas",2001,20,11413000,7968.368,11747.75212477,130.748727812159,134077095000
"USA","H Wilson Sundt Generating Station",556,"Gas",1958,63,795789000,519258.154,10777.1370338117,133.20013626817,8576327103000
"USA","Oklaunion",720,"Coal",1986,35,1818423000,1899857.319,9961.72095546526,230.735479066501,18114622505000
"USA","Cross",2389,"Coal",1984,37,9019529000,9316540.773,10067.5470209143,225.719897215306,90804532314000
"USA","Seminole (FL)",2320,"Coal",1984,37,8259576000,7910171.844,9334.28432246401,225.719884925475,77097230767000
"USA","Agua Fria",611,"Gas",1957,64,235804000,145938.686,10378.408050754,131.193162945855,2447270132000
"USA","Kyrene",572,"Gas",1952,69,1035149000,444512.611,7225.82625979448,130.742379692208,7479806827000
"USA","Apache Station",658,"Coal",1963,58,1918601000,1958791.107,10350.4835679748,217.002880008128,19858448124000
"USA","GREC",1734,"Coal",1981,40,1479368000,1181168.966,9689.1085240454,181.290341900749,14333757099000
"USA","Lake Catherine",751,"Gas",1950,71,109534000,76197.447,11705.9744736794,130.739428113666,1282202208000
"USA","Thomas Fitzhugh",185,"Gas",1963,58,148930000,81596.954,9219.14238232727,130.744646708342,1373006875000
"USA","Carl Bailey",120,"Gas",1966,55,0,15822.68,Inf,131.087069413842,265547900000
"USA","McClellan (AR)",136,"Gas",1972,49,0,52346.119,Inf,130.648632035597,881459377000
"USA","St Johns River Power Park",1358,"Coal",1987,34,5570098000,5848162.326,10247.5183093727,225.403450714855,57079681240000
"USA","Dynegy Moss Landing Power Plant",2802,"Gas",1967,54,2445685000,978799.596,7080.81599592752,124.346233112426,17317445469000
"USA","Limestone",1849,"Coal",1985,36,9872828000,10590592.553,9857.08482108672,239.415837611238,97317303020000
"USA","Encina",999,"Gas",1954,67,546548000,372408.802,11465.7045968515,130.741529142839,6266557916000
"USA","AES Alamitos LLC",2055,"Gas",1956,65,895450000,651829.6,12248.8912837121,130.74305785898,10968269700000
"USA","El Segundo Power",996,"Gas",1955,66,1378017000,653691.399,7982.21004385287,130.742782842927,10999621138000
"USA","Etiwanda Generating Station",1050,"Gas",1953,68,144605000,107571.214,12517.3200027662,130.744697895748,1810067059000
"USA","AES Huntington Beach LLC",1021,"Gas",1958,63,394354000,282505.4,12054.5033142811,130.741620453245,4753741600000
"USA","Long Beach Generation LLC",587,"Gas",1976,45,35729000,32065.003,15101.8332167147,130.738481049545,539573399000
"USA","Mandalay",574,"Gas",1959,62,147324000,88248.863,10079.482073525,130.743492154455,1484949617000
"USA","Ormond Beach",1612,"Gas",1971,50,249945000,166223.492,11190.4401448319,130.744509613387,2796994562000
"USA","AES Redondo Beach LLC",1316,"Gas",1954,67,525647000,388124.5,12424.4744096323,130.743926281262,6530887700000
"USA","Mountainview Generating Station",1164,"Gas",1957,64,4246458000,1793910.005,7108.50908992859,130.742858737005,30185985293000
"USA","Grayson",353,"Gas",1953,68,147982000,140229.064,12267.900602776,169.934506596012,1815428467000
"USA","Joliet 29",1320,"Coal",1965,56,334982000,200286.404,10086.0502952397,130.416202257159,3378645300000
"USA","El Centro",435,"Gas",1952,69,1075494000,524344.529,8203.78000900052,130.742692338913,8823116177000
"USA","Harbor",591,"Gas",1972,49,101879000,57105.634,9520.24525172018,129.529541568213,969913066000
"USA","Haynes",2882,"Gas",1962,59,2934683000,1263206.353,7361.43627914838,128.639169785193,21603481904000
"USA","Scattergood",1368,"Gas",1958,63,1436595000,885011.235,10475.7449162777,129.375547124037,15049402768000
"USA","Valley (CA)",1232,"Gas",1954,67,1558267000,648338.948,7109.7646609984,128.744206181006,11078911649000
"USA","Glenarm",263,"Gas",1976,45,88270000,49840.017,9500.56273932253,130.749008967078,838614673000
"USA","Cherokee",1425,"Coal",1957,64,4519965000,2796559.426,8136.36173443821,167.294403467592,36776070267000
"USA","Comanche (CO)",1634,"Coal",1973,48,10059600000,9861282.648,9401.4319482882,229.393637853836,94574644827000
"USA","Valmont",250,"Coal",1964,57,234452000,215264.697,8948.89087745039,225.721193963774,2098085364000
"USA","Zuni",115,"Gas",1948,73,0,15816.24,Inf,130.812884634514,265996183000
"USA","Martin Drake",257,"Coal",1962,59,1269373000,1447743.584,10896.1304596836,230.278174961782,13831253810000
"USA","Lamar Plant",62,"Coal",1939,82,0,0,NA,NA,0
"USA","Hayden",465,"Coal",1965,56,2888130000,3088947.209,10424.293021436,225.719884087285,30106713404000
"USA","Nucla",112,"Coal",1959,62,101314000,136310.426,13142.8460528654,225.212697727713,1331554305000
"USA","McWilliams",653,"Gas",1954,67,2752131000,1753761.331,10722.6234456136,130.744375130216,29510064386000
"USA","Branford",21,"Oil",1967,54,422000,0,11682.4644549763,0,4.93e+09
"USA","Cos Cob",115,"Oil",1969,52,2711000,0,11895.6473625968,0,32249100000
"USA","Devon Station",428,"Oil",1957,64,30426000,19916.575,8960.05925852889,160.724318890699,272618763000
"USA","Montville Station",493,"Oil",1954,67,48648000,46601.902,12495.0111412597,168.664889049897,607857302000
"USA","Tunnel",20,"Oil",1919,102,270000,0,14564.0740740741,0,3932300000
"USA","Franklin Drive",21,"Oil",1968,53,342000,0,12149.1228070175,0,4.155e+09
"USA","Middletown",853,"Oil",1954,67,248071000,174645.222,11060.869101991,140.027759273786,2743880859000
"USA","South Meadow",164,"Oil",1970,51,1305000,1401.4,13251.1111111111,178.287948093704,17292700000
"USA","Stanton Energy Center",1260,"Coal",1987,34,6723719000,5738209.793,9037.18834234447,207.75726276005,60763514964000
"USA","Torrington Terminal",21,"Oil",1967,54,468000,0,12345.0854700855,0,5777500000
"USA","Bridgeport Station",581,"Coal",1961,60,232756000,251352.213,10316.4542954854,230.28945423315,2401216636000
"USA","North Main Street",19,"Oil",1972,49,402000,0,11558.4577114428,0,4646500000
"USA","J C McNeil",59,"Biomass",1984,37,303151000,416170.225,13119.9729672671,230.198103167338,3977332925000
"USA","Christiana",52,"Oil",1973,48,206000,343.9,20602.427184466,178.266299097571,4244100000
"USA","Delaware City 10",18,"Oil",1968,53,45000,0,15397.7777777778,0,692900000
"USA","Edge Moor",709,"Gas",1954,67,267389000,166370.524,10258.3058914166,133.438110335824,2742958154000
