"country","country_long","name","latitude","longitude","primary_fuel","state","nerc"
"USA","United States of America","12 Applegate Solar LLC",40.2003,-74.5761,"Solar",NA,NA
"USA","United States of America","126 Grove Solar LLC",42.0761,-71.4227,"Solar",NA,NA
"USA","United States of America","1420 Coil Av #C",33.7943,-118.2414,"Solar",NA,NA
"USA","United States of America","145 Talmadge Solar",40.5358,-74.3913,"Solar",NA,NA
"USA","United States of America","1515 S Caron Road",41.9084,-89.0466,"Gas","IL","RFC"
"USA","United States of America","158th Fighter Wing Solar Farm",44.4777,-73.1534,"Solar",NA,NA
"USA","United States of America","180 Raritan Solar",40.5161,-74.34,"Solar",NA,NA
"USA","United States of America","191 Peachtree Tower",33.7583,-84.3869,"Oil","GA","SERC"
"USA","United States of America","201 Sturbridge B",42.1091,-72.1712,"Solar",NA,NA
"USA","United States of America","205 Sturbridge A",42.1093,-72.1705,"Solar",NA,NA
"USA","United States of America","2081 Terzian Solar Project",36.67,-119.4158,"Solar",NA,NA
"USA","United States of America","2097 Helton Solar Project",37.3522,-120.5069,"Solar",NA,NA
"USA","United States of America","2127 Harris Solar Project",39.2917,-121.6697,"Solar",NA,NA
"USA","United States of America","231 Dixon 74 Solar I  LLC",35.2441,-81.4304,"Solar",NA,NA
"USA","United States of America","24 Applegate Solar LLC",40.2058,-74.5797,"Solar",NA,NA
"USA","United States of America","2555 E Olympic Bl",34.0269,-118.2242,"Solar",NA,NA
"USA","United States of America","265 Pleasant Solar NG  LLC",42.5814,-71.7622,"Solar",NA,NA
"USA","United States of America","301 Chestnut Solar NG",42.0552,-72.5218,"Solar",NA,NA
"USA","United States of America","350 Clark Solar  NG  LLC",40.8942,-74.7302,"Solar",NA,NA
"USA","United States of America","4 Applegate Solar LLC",40.1964,-74.5836,"Solar",NA,NA
"USA","United States of America","433 Purchase Solar NG  LLC",41.8094,-71.1922,"Solar",NA,NA
"USA","United States of America","45 Mile Hydroelectric Project",44.5281,-121.1528,"Hydro",NA,NA
"USA","United States of America","491 E 48th Street",42.7553,-86.0853,"Gas","MI","RFC"
"USA","United States of America","4Oaks",35.4325,-78.4117,"Solar",NA,NA
"USA","United States of America","500 Virginia Solar",40.1392,-75.1917,"Solar",NA,NA
"USA","United States of America","500MW CC",40.7889,-73.9069,"Gas","NY","NPCC"
"USA","United States of America","510 REPP One",36.4972,-77.6058,"Solar",NA,NA
"USA","United States of America","59th Street",40.7713,-73.9912,"Gas","NY","NPCC"
"USA","United States of America","651 Chase Solar NG",42.6267,-71.7428,"Solar",NA,NA
"USA","United States of America","74th Street",40.768,-73.9515,"Oil","NY","NPCC"
"USA","United States of America","85 A",35.1011,-118.3372,"Wind",NA,NA
"USA","United States of America","85 B",35.1011,-118.3372,"Wind",NA,NA
"USA","United States of America","99 Islands",35.0314,-81.4936,"Hydro",NA,NA
"USA","United States of America","A B Brown",37.9053,-87.715,"Coal","IN","RFC"
"USA","United States of America","A G Wishon",37.151,-119.5047,"Hydro",NA,NA
"USA","United States of America","A L Pierce",41.4482,-72.8349,"Gas","CT","NPCC"
"USA","United States of America","A.E.S. Corp.",17.9474,-66.1494,"Coal",NA,NA
"USA","United States of America","ABC Coke",33.5828,-86.7799,"Gas","AL","SERC"
"USA","United States of America","ABD Farms",35.7287,-79.7483,"Solar",NA,NA
"USA","United States of America","ABEC Bidart-Old River LLC",35.1697,-119.1056,"Biomass",NA,NA
"USA","United States of America","AC Criminal Courts Complex SPE2  LLC",39.4375,-74.6906,"Solar",NA,NA
"USA","United States of America","AC Landfill Energy LLC",39.4175,-74.5422,"Waste",NA,NA
"USA","United States of America","ACCC Mays Landing",39.4606,-74.6809,"Solar",NA,NA
"USA","United States of America","ACE-Stanton A PV",28.4845,-81.1741,"Solar",NA,NA
"USA","United States of America","ACE-Stanton PV",28.4774,-81.1804,"Solar",NA,NA
"USA","United States of America","ADA Carbon Solutions Red River",32.0039,-93.3911,"Cogeneration",NA,NA
"USA","United States of America","ADS Renewable Energy-Wolf Creek LLC",32.7755,-83.4348,"Waste",NA,NA
"USA","United States of America","AEP Bluffton NaS",40.8928,-83.8863,"Storage",NA,NA
"USA","United States of America","AEP Churubusco NaS",41.2326,-85.3149,"Storage",NA,NA
"USA","United States of America","AEP Jacksonville Solar Project",30.5236,-81.6864,"Solar",NA,NA
"USA","United States of America","AEP Milton NaS",38.3622,-82.1256,"Storage",NA,NA
"USA","United States of America","AES ADA Energy Storage Array",40.1218,-75.4172,"Storage",NA,NA
"USA","United States of America","AES Alamitos LLC",33.7688,-118.1009,"Gas","CA","WECC"
"USA","United States of America","AES Hawaii",21.3034,-158.1065,"Coal","HI","HICC"
"USA","United States of America","AES Huntington Beach LLC",33.6439,-117.9792,"Gas","CA","WECC"
"USA","United States of America","AES Ilumina",17.9468,-66.1591,"Solar",NA,NA
"USA","United States of America","AES Petersburg",38.5281,-87.2525,"Coal","IN","RFC"
"USA","United States of America","AES Redondo Beach LLC",33.8504,-118.395,"Gas","CA","WECC"
"USA","United States of America","AES Shady Point LLC",35.1931,-94.6458,"Coal",NA,NA
"USA","United States of America","AES Warrior Run Cogeneration Facility",39.5952,-78.7453,"Coal","MD","RFC"
"USA","United States of America","AES Warrior Run Energy Storage Project",39.5931,-78.7453,"Storage",NA,NA
"USA","United States of America","AFA Solar Farm",38.9579,-104.8066,"Solar",NA,NA
"USA","United States of America","AIS Solar Project",42.5019,-71.7378,"Solar",NA,NA
"USA","United States of America","AL Sandersville LLC",33.1189,-82.8608,"Gas","GA","SERC"
"USA","United States of America","AM Best Farm",35.4189,-77.9856,"Solar",NA,NA
"USA","United States of America","AMEA Peaking",33.1661,-86.2825,"Gas","AL","SERC"
"USA","United States of America","AMP Napoleon Solar Facility",41.4067,-84.1108,"Solar",NA,NA
"USA","United States of America","ANAD Solar Array",33.6267,-85.9695,"Solar",NA,NA
"USA","United States of America","ANP Bellingham Energy Project",42.1106,-71.4535,"Gas","MA","NPCC"
"USA","United States of America","ANP Blackstone Energy Project",42.0599,-71.5158,"Gas","MA","NPCC"
"USA","United States of America","AP North Lake I  LP",33.74,-117.0106,"Solar",NA,NA
