"country","primary_fuel","pay_off_age","lifetime"
"AFG","Coal",30,60
"AFG","Gas",30,60
"AFG","Oil",30,60
"AFG","Solar",30,60
"AFG","Wind",30,60
"AFG","Waste",30,60
"AFG","Hydro",30,60
"AGO","Coal",30,60
"AGO","Gas",30,60
"AGO","Oil",30,60
"AGO","Solar",30,60
"AGO","Wind",30,60
"AGO","Waste",30,60
"AGO","Hydro",30,60
"ALB","Coal",30,60
"ALB","Gas",30,60
"ALB","Oil",30,60
"ALB","Solar",30,60
"ALB","Wind",30,60
"ALB","Waste",30,60
"ALB","Hydro",30,60
"ARE","Coal",30,60
"ARE","Gas",30,60
"ARE","Oil",30,60
"ARE","Solar",30,60
"ARE","Wind",30,60
"ARE","Waste",30,60
"ARE","Hydro",30,60
"ARG","Coal",30,60
"ARG","Gas",30,60
"ARG","Oil",30,60
"ARG","Solar",30,60
"ARG","Wind",30,60
"ARG","Waste",30,60
"ARG","Hydro",30,60
"ARM","Coal",30,60
"ARM","Gas",30,60
"ARM","Oil",30,60
"ARM","Solar",30,60
"ARM","Wind",30,60
"ARM","Waste",30,60
"ARM","Hydro",30,60
"ATA","Coal",30,60
"ATA","Gas",30,60
"ATA","Oil",30,60
"ATA","Solar",30,60
"ATA","Wind",30,60
"ATA","Waste",30,60
"ATA","Hydro",30,60
"AUS","Coal",30,60
"AUS","Gas",30,60
"AUS","Oil",30,60
"AUS","Solar",30,60
"AUS","Wind",30,60
"AUS","Waste",30,60
"AUS","Hydro",30,60
"AUT","Coal",30,60
"AUT","Gas",30,60
"AUT","Oil",30,60
"AUT","Solar",30,60
"AUT","Wind",30,60
"AUT","Waste",30,60
"AUT","Hydro",30,60
"AZE","Coal",30,60
"AZE","Gas",30,60
"AZE","Oil",30,60
"AZE","Solar",30,60
"AZE","Wind",30,60
"AZE","Waste",30,60
"AZE","Hydro",30,60
"BDI","Coal",30,60
"BDI","Gas",30,60
"BDI","Oil",30,60
"BDI","Solar",30,60
"BDI","Wind",30,60
"BDI","Waste",30,60
"BDI","Hydro",30,60
"BEL","Coal",30,60
"BEL","Gas",30,60
"BEL","Oil",30,60
"BEL","Solar",30,60
"BEL","Wind",30,60
"BEL","Waste",30,60
"BEL","Hydro",30,60
"BEN","Coal",30,60
"BEN","Gas",30,60
"BEN","Oil",30,60
"BEN","Solar",30,60
"BEN","Wind",30,60
"BEN","Waste",30,60
"BEN","Hydro",30,60
"BFA","Coal",30,60
"BFA","Gas",30,60
"BFA","Oil",30,60
"BFA","Solar",30,60
"BFA","Wind",30,60
"BFA","Waste",30,60
"BFA","Hydro",30,60
"BGD","Coal",30,60
"BGD","Gas",30,60
"BGD","Oil",30,60
"BGD","Solar",30,60
"BGD","Wind",30,60
"BGD","Waste",30,60
"BGD","Hydro",30,60
"BGR","Coal",30,60
"BGR","Gas",30,60
"BGR","Oil",30,60
"BGR","Solar",30,60
"BGR","Wind",30,60
"BGR","Waste",30,60
"BGR","Hydro",30,60
"BHR","Coal",30,60
"BHR","Gas",30,60
"BHR","Oil",30,60
"BHR","Solar",30,60
"BHR","Wind",30,60
"BHR","Waste",30,60
"BHR","Hydro",30,60
"BIH","Coal",30,60
"BIH","Gas",30,60
"BIH","Oil",30,60
"BIH","Solar",30,60
"BIH","Wind",30,60
"BIH","Waste",30,60
"BIH","Hydro",30,60
"BLR","Coal",30,60
"BLR","Gas",30,60
"BLR","Oil",30,60
"BLR","Solar",30,60
"BLR","Wind",30,60
"BLR","Waste",30,60
"BLR","Hydro",30,60
"BOL","Coal",30,60
"BOL","Gas",30,60
"BOL","Oil",30,60
"BOL","Solar",30,60
"BOL","Wind",30,60
"BOL","Waste",30,60
"BOL","Hydro",30,60
"BRA","Coal",30,60
"BRA","Gas",30,60
"BRA","Oil",30,60
"BRA","Solar",30,60
"BRA","Wind",30,60
"BRA","Waste",30,60
"BRA","Hydro",30,60
"BRN","Coal",30,60
"BRN","Gas",30,60
"BRN","Oil",30,60
"BRN","Solar",30,60
"BRN","Wind",30,60
"BRN","Waste",30,60
"BRN","Hydro",30,60
"BTN","Coal",30,60
"BTN","Gas",30,60
"BTN","Oil",30,60
"BTN","Solar",30,60
"BTN","Wind",30,60
"BTN","Waste",30,60
"BTN","Hydro",30,60
"BWA","Coal",30,60
"BWA","Gas",30,60
"BWA","Oil",30,60
"BWA","Solar",30,60
"BWA","Wind",30,60
"BWA","Waste",30,60
"BWA","Hydro",30,60
"CAF","Coal",30,60
"CAF","Gas",30,60
"CAF","Oil",30,60
"CAF","Solar",30,60
"CAF","Wind",30,60
"CAF","Waste",30,60
"CAF","Hydro",30,60
"CAN","Coal",30,60
"CAN","Gas",30,60
"CAN","Oil",30,60
"CAN","Solar",30,60
"CAN","Wind",30,60
"CAN","Waste",30,60
"CAN","Hydro",30,60
"CHE","Coal",30,60
"CHE","Gas",30,60
"CHE","Oil",30,60
"CHE","Solar",30,60
"CHE","Wind",30,60
"CHE","Waste",30,60
"CHE","Hydro",30,60
"CHL","Coal",30,60
"CHL","Gas",30,60
"CHL","Oil",30,60
"CHL","Solar",30,60
"CHL","Wind",30,60
"CHL","Waste",30,60
"CHL","Hydro",30,60
"CHN","Coal",30,60
"CHN","Gas",30,60
"CHN","Oil",30,60
"CHN","Solar",30,60
"CHN","Wind",30,60
"CHN","Waste",30,60
"CHN","Hydro",30,60
"CIV","Coal",30,60
"CIV","Gas",30,60
"CIV","Oil",30,60
"CIV","Solar",30,60
"CIV","Wind",30,60
"CIV","Waste",30,60
"CIV","Hydro",30,60
"CMR","Coal",30,60
"CMR","Gas",30,60
"CMR","Oil",30,60
"CMR","Solar",30,60
"CMR","Wind",30,60
"CMR","Waste",30,60
"CMR","Hydro",30,60
"COD","Coal",30,60
"COD","Gas",30,60
"COD","Oil",30,60
"COD","Solar",30,60
"COD","Wind",30,60
"COD","Waste",30,60
"COD","Hydro",30,60
"COG","Coal",30,60
"COG","Gas",30,60
"COG","Oil",30,60
"COG","Solar",30,60
"COG","Wind",30,60
"COG","Waste",30,60
"COG","Hydro",30,60
"COL","Coal",30,60
"COL","Gas",30,60
"COL","Oil",30,60
"COL","Solar",30,60
"COL","Wind",30,60
"COL","Waste",30,60
"COL","Hydro",30,60
"CPV","Coal",30,60
"CPV","Gas",30,60
"CPV","Oil",30,60
"CPV","Solar",30,60
"CPV","Wind",30,60
"CPV","Waste",30,60
"CPV","Hydro",30,60
"CRI","Coal",30,60
"CRI","Gas",30,60
"CRI","Oil",30,60
"CRI","Solar",30,60
"CRI","Wind",30,60
"CRI","Waste",30,60
"CRI","Hydro",30,60
"CUB","Coal",30,60
"CUB","Gas",30,60
"CUB","Oil",30,60
"CUB","Solar",30,60
"CUB","Wind",30,60
"CUB","Waste",30,60
"CUB","Hydro",30,60
"CYP","Coal",30,60
"CYP","Gas",30,60
"CYP","Oil",30,60
"CYP","Solar",30,60
"CYP","Wind",30,60
"CYP","Waste",30,60
"CYP","Hydro",30,60
"CZE","Coal",30,60
"CZE","Gas",30,60
"CZE","Oil",30,60
"CZE","Solar",30,60
"CZE","Wind",30,60
"CZE","Waste",30,60
"CZE","Hydro",30,60
"DEU","Coal",30,60
"DEU","Gas",30,60
"DEU","Oil",30,60
"DEU","Solar",30,60
"DEU","Wind",30,60
"DEU","Waste",30,60
"DEU","Hydro",30,60
"DJI","Coal",30,60
"DJI","Gas",30,60
"DJI","Oil",30,60
"DJI","Solar",30,60
"DJI","Wind",30,60
"DJI","Waste",30,60
"DJI","Hydro",30,60
"DNK","Coal",30,60
"DNK","Gas",30,60
"DNK","Oil",30,60
"DNK","Solar",30,60
"DNK","Wind",30,60
"DNK","Waste",30,60
"DNK","Hydro",30,60
"DOM","Coal",30,60
"DOM","Gas",30,60
"DOM","Oil",30,60
"DOM","Solar",30,60
"DOM","Wind",30,60
"DOM","Waste",30,60
"DOM","Hydro",30,60
"DZA","Coal",30,60
"DZA","Gas",30,60
"DZA","Oil",30,60
"DZA","Solar",30,60
"DZA","Wind",30,60
"DZA","Waste",30,60
"DZA","Hydro",30,60
"ECU","Coal",30,60
"ECU","Gas",30,60
"ECU","Oil",30,60
"ECU","Solar",30,60
"ECU","Wind",30,60
"ECU","Waste",30,60
"ECU","Hydro",30,60
"EGY","Coal",30,60
"EGY","Gas",30,60
"EGY","Oil",30,60
"EGY","Solar",30,60
"EGY","Wind",30,60
"EGY","Waste",30,60
"EGY","Hydro",30,60
"ERI","Coal",30,60
"ERI","Gas",30,60
"ERI","Oil",30,60
"ERI","Solar",30,60
"ERI","Wind",30,60
"ERI","Waste",30,60
"ERI","Hydro",30,60
"ESH","Coal",30,60
"ESH","Gas",30,60
"ESH","Oil",30,60
"ESH","Solar",30,60
"ESH","Wind",30,60
"ESH","Waste",30,60
"ESH","Hydro",30,60
"ESP","Coal",30,60
"ESP","Gas",30,60
"ESP","Oil",30,60
"ESP","Solar",30,60
"ESP","Wind",30,60
"ESP","Waste",30,60
"ESP","Hydro",30,60
"EST","Coal",30,60
"EST","Gas",30,60
"EST","Oil",30,60
"EST","Solar",30,60
"EST","Wind",30,60
"EST","Waste",30,60
"EST","Hydro",30,60
"ETH","Coal",30,60
"ETH","Gas",30,60
"ETH","Oil",30,60
"ETH","Solar",30,60
"ETH","Wind",30,60
"ETH","Waste",30,60
"ETH","Hydro",30,60
"FIN","Coal",30,60
"FIN","Gas",30,60
"FIN","Oil",30,60
"FIN","Solar",30,60
"FIN","Wind",30,60
"FIN","Waste",30,60
"FIN","Hydro",30,60
"FJI","Coal",30,60
"FJI","Gas",30,60
"FJI","Oil",30,60
"FJI","Solar",30,60
"FJI","Wind",30,60
"FJI","Waste",30,60
"FJI","Hydro",30,60
"FRA","Coal",30,60
"FRA","Gas",30,60
"FRA","Oil",30,60
"FRA","Solar",30,60
"FRA","Wind",30,60
