### This data is primarily pulled from https://www.eia.gov/analysis/studies/powerplants/capitalcost/pdf/capital_cost_AEO2020.pdf ,,,,,,
"### There were often multiple options for representative plants by fuel (eg advanced nuclear vs small modular reactor) so one was chosen arbitrarily. All values are currently for the US, but nation specific values will be added soon",,,,,,
"### Fuel prices for Biomass and Nuclear are necessary, but did not find them yet",,,,,,
country,primary_fuel,capital_cost_per_kw,fixed_om_per_kw_year,variable_om_per_mwh,discount_rate,fuel_price_per_btu
AFG,Coal,3676,40.58,4.5,0.06,3.21E-06
AFG,Gas,958,12.2,1.87,0.06,1.94E-06
AFG,Oil,1810,35.16,5.69,0.06,1.24E-05
AFG,Solar,1313,15.25,0,0.06,0
AFG,Wind,1265,26.34,0,0.06,0
AFG,Waste,1563,20.1,6.2,0.06,0
AFG,Hydro,5316,29.86,0,0.06,0
AFG,Geothermal,2521,128.544,1.16,0.06,0
AFG,CSP,7221,85.4,0,0.06,0
AFG,Nuclear,6041,121.64,2.37,0.06,0
AFG,Biomass,4097,125.72,4.83,0.06,0
AGO,Coal,3676,40.58,4.5,0.06,3.21E-06
AGO,Gas,958,12.2,1.87,0.06,1.94E-06
AGO,Oil,1810,35.16,5.69,0.06,1.24E-05
AGO,Solar,1313,15.25,0,0.06,0
AGO,Wind,1265,26.34,0,0.06,0
AGO,Waste,1563,20.1,6.2,0.06,0
AGO,Hydro,5316,29.86,0,0.06,0
AGO,Geothermal,2521,128.544,1.16,0.06,0
AGO,CSP,7221,85.4,0,0.06,0
AGO,Nuclear,6041,121.64,2.37,0.06,0
AGO,Biomass,4097,125.72,4.83,0.06,0
ALB,Coal,3676,40.58,4.5,0.06,3.21E-06
ALB,Gas,958,12.2,1.87,0.06,1.94E-06
ALB,Oil,1810,35.16,5.69,0.06,1.24E-05
ALB,Solar,1313,15.25,0,0.06,0
ALB,Wind,1265,26.34,0,0.06,0
ALB,Waste,1563,20.1,6.2,0.06,0
ALB,Hydro,5316,29.86,0,0.06,0
ALB,Geothermal,2521,128.544,1.16,0.06,0
ALB,CSP,7221,85.4,0,0.06,0
ALB,Nuclear,6041,121.64,2.37,0.06,0
ALB,Biomass,4097,125.72,4.83,0.06,0
ARE,Coal,3676,40.58,4.5,0.06,3.21E-06
ARE,Gas,958,12.2,1.87,0.06,1.94E-06
ARE,Oil,1810,35.16,5.69,0.06,1.24E-05
ARE,Solar,1313,15.25,0,0.06,0
ARE,Wind,1265,26.34,0,0.06,0
ARE,Waste,1563,20.1,6.2,0.06,0
ARE,Hydro,5316,29.86,0,0.06,0
ARE,Geothermal,2521,128.544,1.16,0.06,0
ARE,CSP,7221,85.4,0,0.06,0
ARE,Nuclear,6041,121.64,2.37,0.06,0
ARE,Biomass,4097,125.72,4.83,0.06,0
ARG,Coal,3676,40.58,4.5,0.06,3.21E-06
ARG,Gas,958,12.2,1.87,0.06,1.94E-06
ARG,Oil,1810,35.16,5.69,0.06,1.24E-05
ARG,Solar,1313,15.25,0,0.06,0
ARG,Wind,1265,26.34,0,0.06,0
ARG,Waste,1563,20.1,6.2,0.06,0
ARG,Hydro,5316,29.86,0,0.06,0
ARG,Geothermal,2521,128.544,1.16,0.06,0
ARG,CSP,7221,85.4,0,0.06,0
ARG,Nuclear,6041,121.64,2.37,0.06,0
ARG,Biomass,4097,125.72,4.83,0.06,0
ARM,Coal,3676,40.58,4.5,0.06,3.21E-06
ARM,Gas,958,12.2,1.87,0.06,1.94E-06
ARM,Oil,1810,35.16,5.69,0.06,1.24E-05
ARM,Solar,1313,15.25,0,0.06,0
ARM,Wind,1265,26.34,0,0.06,0
ARM,Waste,1563,20.1,6.2,0.06,0
ARM,Hydro,5316,29.86,0,0.06,0
ARM,Geothermal,2521,128.544,1.16,0.06,0
ARM,CSP,7221,85.4,0,0.06,0
ARM,Nuclear,6041,121.64,2.37,0.06,0
ARM,Biomass,4097,125.72,4.83,0.06,0
ATA,Coal,3676,40.58,4.5,0.06,3.21E-06
ATA,Gas,958,12.2,1.87,0.06,1.94E-06
ATA,Oil,1810,35.16,5.69,0.06,1.24E-05
ATA,Solar,1313,15.25,0,0.06,0
ATA,Wind,1265,26.34,0,0.06,0
ATA,Waste,1563,20.1,6.2,0.06,0
ATA,Hydro,5316,29.86,0,0.06,0
ATA,Geothermal,2521,128.544,1.16,0.06,0
ATA,CSP,7221,85.4,0,0.06,0
ATA,Nuclear,6041,121.64,2.37,0.06,0
ATA,Biomass,4097,125.72,4.83,0.06,0
AUS,Coal,3676,40.58,4.5,0.06,3.21E-06
AUS,Gas,958,12.2,1.87,0.06,1.94E-06
AUS,Oil,1810,35.16,5.69,0.06,1.24E-05
AUS,Solar,1313,15.25,0,0.06,0
AUS,Wind,1265,26.34,0,0.06,0
AUS,Waste,1563,20.1,6.2,0.06,0
AUS,Hydro,5316,29.86,0,0.06,0
AUS,Geothermal,2521,128.544,1.16,0.06,0
AUS,CSP,7221,85.4,0,0.06,0
AUS,Nuclear,6041,121.64,2.37,0.06,0
AUS,Biomass,4097,125.72,4.83,0.06,0
AUT,Coal,3676,40.58,4.5,0.06,3.21E-06
AUT,Gas,958,12.2,1.87,0.06,1.94E-06
AUT,Oil,1810,35.16,5.69,0.06,1.24E-05
AUT,Solar,1313,15.25,0,0.06,0
AUT,Wind,1265,26.34,0,0.06,0
AUT,Waste,1563,20.1,6.2,0.06,0
AUT,Hydro,5316,29.86,0,0.06,0
AUT,Geothermal,2521,128.544,1.16,0.06,0
AUT,CSP,7221,85.4,0,0.06,0
AUT,Nuclear,6041,121.64,2.37,0.06,0
AUT,Biomass,4097,125.72,4.83,0.06,0
AZE,Coal,3676,40.58,4.5,0.06,3.21E-06
AZE,Gas,958,12.2,1.87,0.06,1.94E-06
AZE,Oil,1810,35.16,5.69,0.06,1.24E-05
AZE,Solar,1313,15.25,0,0.06,0
AZE,Wind,1265,26.34,0,0.06,0
