### Heat rates and emissions were gathered from EIA: https://www.eia.gov/analysis/studies/powerplants/capitalcost/pdf/capital_cost_AEO2020.pdf,,,
"### Technically waste and biomass emit, but we may want to set those values to 0 (or some lower number) because over a lifecycle biomass is burned then regrown (net zero)",,,
"### All values are from the EIA for the US, but nation specific values will be added soon",,,
country,primary_fuel,heat_rate_btu_per_kwh,co2_lb_per_mmbtu
AFG,Coal,10551,206
AFG,Gas,7732,117
AFG,Oil,11135,117
AFG,Solar,3412,0
AFG,Wind,3412,0
AFG,Waste,8513,117
AFG,Hydro,3412,0
AFG,Geothermal,3412,0
AFG,Biomass,13300,206
AFG,Nuclear,10608,0
AGO,Coal,10551,206
AGO,Gas,7732,117
AGO,Oil,11135,117
AGO,Solar,3412,0
AGO,Wind,3412,0
AGO,Waste,8513,117
AGO,Hydro,3412,0
AGO,Geothermal,3412,0
AGO,Biomass,13300,206
AGO,Nuclear,10608,0
ALB,Coal,10551,206
ALB,Gas,7732,117
ALB,Oil,11135,117
ALB,Solar,3412,0
ALB,Wind,3412,0
ALB,Waste,8513,117
ALB,Hydro,3412,0
ALB,Geothermal,3412,0
ALB,Biomass,13300,206
ALB,Nuclear,10608,0
ARE,Coal,10551,206
ARE,Gas,7732,117
ARE,Oil,11135,117
ARE,Solar,3412,0
ARE,Wind,3412,0
ARE,Waste,8513,117
ARE,Hydro,3412,0
ARE,Geothermal,3412,0
ARE,Biomass,13300,206
ARE,Nuclear,10608,0
ARG,Coal,10551,206
ARG,Gas,7732,117
ARG,Oil,11135,117
ARG,Solar,3412,0
ARG,Wind,3412,0
ARG,Waste,8513,117
ARG,Hydro,3412,0
ARG,Geothermal,3412,0
ARG,Biomass,13300,206
ARG,Nuclear,10608,0
ARM,Coal,10551,206
ARM,Gas,7732,117
ARM,Oil,11135,117
ARM,Solar,3412,0
ARM,Wind,3412,0
ARM,Waste,8513,117
ARM,Hydro,3412,0
ARM,Geothermal,3412,0
ARM,Biomass,13300,206
ARM,Nuclear,10608,0
ATA,Coal,10551,206
ATA,Gas,7732,117
ATA,Oil,11135,117
ATA,Solar,3412,0
ATA,Wind,3412,0
ATA,Waste,8513,117
ATA,Hydro,3412,0
ATA,Geothermal,3412,0
ATA,Biomass,13300,206
ATA,Nuclear,10608,0
AUS,Coal,10551,206
AUS,Gas,7732,117
AUS,Oil,11135,117
AUS,Solar,3412,0
AUS,Wind,3412,0
AUS,Waste,8513,117
AUS,Hydro,3412,0
AUS,Geothermal,3412,0
AUS,Biomass,13300,206
AUS,Nuclear,10608,0
AUT,Coal,10551,206
AUT,Gas,7732,117
AUT,Oil,11135,117
AUT,Solar,3412,0
AUT,Wind,3412,0
AUT,Waste,8513,117
AUT,Hydro,3412,0
AUT,Geothermal,3412,0
AUT,Biomass,13300,206
AUT,Nuclear,10608,0
AZE,Coal,10551,206
AZE,Gas,7732,117
AZE,Oil,11135,117
AZE,Solar,3412,0
AZE,Wind,3412,0
AZE,Waste,8513,117
AZE,Hydro,3412,0
AZE,Geothermal,3412,0
AZE,Biomass,13300,206
AZE,Nuclear,10608,0
BDI,Coal,10551,206
BDI,Gas,7732,117
BDI,Oil,11135,117
BDI,Solar,3412,0
BDI,Wind,3412,0
BDI,Waste,8513,117
BDI,Hydro,3412,0
BDI,Geothermal,3412,0
BDI,Biomass,13300,206
BDI,Nuclear,10608,0
BEL,Coal,10551,206
BEL,Gas,7732,117
BEL,Oil,11135,117
BEL,Solar,3412,0
BEL,Wind,3412,0
BEL,Waste,8513,117
BEL,Hydro,3412,0
BEL,Geothermal,3412,0
BEL,Biomass,13300,206
BEL,Nuclear,10608,0
BEN,Coal,10551,206
BEN,Gas,7732,117
BEN,Oil,11135,117
BEN,Solar,3412,0
BEN,Wind,3412,0
BEN,Waste,8513,117
BEN,Hydro,3412,0
BEN,Geothermal,3412,0
BEN,Biomass,13300,206
BEN,Nuclear,10608,0
BFA,Coal,10551,206
BFA,Gas,7732,117
BFA,Oil,11135,117
BFA,Solar,3412,0
BFA,Wind,3412,0
BFA,Waste,8513,117
