name,class,attribute,value
AFG_Gas_NorthwestKabul5,Generator,Latitude,34.5638
AFG_Gas_NorthwestKabul5,Generator,Longitude,69.1134
AFG_Hyd_KajakiHydroele1,Generator,Latitude,32.322
AFG_Hyd_KajakiHydroele1,Generator,Longitude,65.119
AFG_Hyd_MahiparHydroel2,Generator,Latitude,34.556
AFG_Hyd_MahiparHydroel2,Generator,Longitude,69.4787
AFG_Hyd_NaghluDamHydr3,Generator,Latitude,34.641
AFG_Hyd_NaghluDamHydr3,Generator,Longitude,69.717
AFG_Hyd_NangarharDaru4,Generator,Latitude,34.4847
AFG_Hyd_NangarharDaru4,Generator,Longitude,70.3633
AFG_Hyd_PuleKhumriHy6,Generator,Latitude,35.9416
AFG_Hyd_PuleKhumriHy6,Generator,Longitude,68.71
AFG_Hyd_SarobiDamHydr7,Generator,Latitude,34.5865
AFG_Hyd_SarobiDamHydr7,Generator,Longitude,69.7757
AGO_Gas_Cazenga52,Generator,Latitude,-8.8383
AGO_Gas_Cazenga52,Generator,Longitude,13.2344
AGO_Gas_Lobito54,Generator,Latitude,-12.37
AGO_Gas_Lobito54,Generator,Longitude,13.57
AGO_Gas_Namibe59,Generator,Latitude,-15.1961
AGO_Gas_Namibe59,Generator,Longitude,12.1522
AGO_Hyd_Biopiohydro49,Generator,Latitude,-12.4706
AGO_Hyd_Biopiohydro49,Generator,Longitude,13.7319
AGO_Hyd_Cambambe50,Generator,Latitude,-9.7523
AGO_Hyd_Cambambe50,Generator,Longitude,14.4809
AGO_Hyd_Capanda51,Generator,Latitude,-9.7955
AGO_Hyd_Capanda51,Generator,Longitude,15.4672
AGO_Hyd_Matala58,Generator,Latitude,-14.7333
AGO_Hyd_Matala58,Generator,Longitude,15.0333
AGO_Hyd_RioLuachimo60,Generator,Latitude,-7.3
AGO_Hyd_RioLuachimo60,Generator,Longitude,20.85
AGO_Oil_Biopio48,Generator,Latitude,-12.4706
AGO_Oil_Biopio48,Generator,Longitude,13.7319
AGO_Oil_Huambo53,Generator,Latitude,-12.76
AGO_Oil_Huambo53,Generator,Longitude,15.75
AGO_Oil_LuandaDiesel55,Generator,Latitude,-8.8383
AGO_Oil_LuandaDiesel55,Generator,Longitude,13.2344
AGO_Oil_LuandaRefinery56,Generator,Latitude,-8.8383
AGO_Oil_LuandaRefinery56,Generator,Longitude,13.2344
AGO_Oil_Malongo57,Generator,Latitude,-5.55
AGO_Oil_Malongo57,Generator,Longitude,12.2
AGO_Oil_Xitoto61,Generator,Latitude,-15.3333
AGO_Oil_Xitoto61,Generator,Longitude,15
ALB_Hyd_Bistrica18,Generator,Latitude,39.9116
ALB_Hyd_Bistrica18,Generator,Longitude,20.1047
ALB_Hyd_Fierza9,Generator,Latitude,42.2514
ALB_Hyd_Fierza9,Generator,Longitude,20.0431
ALB_Hyd_Koman10,Generator,Latitude,42.1033
ALB_Hyd_Koman10,Generator,Longitude,19.8224
ALB_Hyd_Lanabregas11,Generator,Latitude,41.3428
ALB_Hyd_Lanabregas11,Generator,Longitude,19.8964
ALB_Hyd_Shkopet12,Generator,Latitude,41.6796
ALB_Hyd_Shkopet12,Generator,Longitude,19.8305
ALB_Hyd_Ulez13,Generator,Latitude,41.6796
ALB_Hyd_Ulez13,Generator,Longitude,19.8936
ALB_Hyd_VauiDijes14,Generator,Latitude,42.0137
ALB_Hyd_VauiDijes14,Generator,Longitude,19.6359
ALB_Oth_Vlora15,Generator,Latitude,40.4874
ALB_Oth_Vlora15,Generator,Longitude,19.434
ARE_Csp_Shams18306,Generator,Latitude,23.5711
ARE_Csp_Shams18306,Generator,Longitude,53.7143
ARE_Gas_Ajman18288,Generator,Latitude,25.402
ARE_Gas_Ajman18288,Generator,Longitude,55.45
ARE_Gas_AlMirfaPower18289,Generator,Latitude,24.121
ARE_Gas_AlMirfaPower18289,Generator,Longitude,53.447
ARE_Gas_APCUAN18287,Generator,Latitude,24.4375
ARE_Gas_APCUAN18287,Generator,Longitude,54.491
ARE_Gas_AweerHPh18290,Generator,Latitude,25.1493
ARE_Gas_AweerHPh18290,Generator,Longitude,55.4268
ARE_Gas_AweerHPh18291,Generator,Latitude,25.1498
ARE_Gas_AweerHPh18291,Generator,Longitude,55.4247
ARE_Gas_ESWPCFujF118292,Generator,Latitude,25.3142
ARE_Gas_ESWPCFujF118292,Generator,Longitude,56.3728
ARE_Gas_FAPCOFujF218293,Generator,Latitude,25.3142
ARE_Gas_FAPCOFujF218293,Generator,Longitude,56.3728
ARE_Gas_HamriyahPower18294,Generator,Latitude,25.4598
ARE_Gas_HamriyahPower18294,Generator,Longitude,55.48
ARE_Gas_JebelAliD18295,Generator,Latitude,25.0659
ARE_Gas_JebelAliD18295,Generator,Longitude,55.1235
ARE_Gas_JebelAliE18296,Generator,Latitude,25.0595
