iso,continent
AFG,AS
AGO,AF
ALB,EU
ARE,AS
ARG,SA
ARM,EU
ATA,OC
AUS,OC
AUT,EU
AZE,EU
BDI,AF
BEL,EU
BEN,AF
BFA,AF
BGD,AS
BGR,EU
BHR,AS
BIH,EU
BLR,EU
BOL,SA
BRA,SA
BRN,AS
BTN,AS
BWA,AF
CAF,AF
CAN,NA
CHE,EU
CHL,SA
CHN,AS
CIV,EU
CMR,AF
COD,AF
COG,AF
COL,SA
CPV,AF
CRI,NA
CUB,NA
CYP,EU
CZE,EU
DEU,EU
DJI,AF
DNK,EU
DOM,NA
DZA,AF
ECU,SA
EGY,AF
ERI,AF
ESH,AF
ESP,EU
EST,EU
ETH,AF
FIN,EU
FJI,OC
FRA,EU
GAB,AF
GBR,EU
GEO,AS
GHA,AF
GIN,AF
GMB,AF
GNB,AF
GNQ,AF
GRC,EU
GTM,NA
GUF,SA
GUY,SA
HND,NA
HRV,EU
HUN,EU
IDN,AS
IND,AS
IRL,EU
IRN,AS
IRQ,AS
ISL,EU
ISR,AS
ITA,EU
JAM,NA
JOR,AS
JPN,AS
KAZ,AS
KEN,AF
KGZ,AS
KHM,AS
KOR,AS
KOS,EU
KWT,AS
LAO,AS
LBN,AS
LBR,AF
LBY,AF
LKA,AS
LSO,AF
LTU,EU
LUX,EU
LVA,EU
MAR,AF
MDA,EU
MDG,AF
MEX,NA
MKD,EU
MLI,AF
MMR,AS
MNE,EU
MNG,AS
MOZ,AF
MRT,AF
MUS,AF
MWI,AF
MYS,AS
NAM,AF
NER,AF
NGA,AF
NIC,NA
NLD,EU
NOR,EU
NPL,AS
NZL,OC
OMN,AS
PAK,AS
PAN,NA
PER,SA
PHL,AS
PNG,OC
POL,EU
PRK,AS
PRT,EU
PRY,SA
QAT,AS
ROU,EU
RUS,AS
RWA,AF
SAU,AS
SDN,AF
SEN,AF
SGP,AS
SLE,AF
SLV,NA
SRB,EU
SVK,EU
SVN,EU
SWE,EU
SWZ,EU
SYR,AS
TGO,AF
THA,AS
TJK,AS
TKM,AS
TTO,NA
TUN,AF
TUR,AS
TWN,AS
TZA,AF
UGA,AF
UKR,EU
URY,SA
USA,NA
UZB,AS
VEN,SA
VNM,AS
YEM,AS
ZAF,AF
ZMB,AF
ZWE,AF
